Municipality,Bank,Longitude,Latitude
Salamanca,Caja Rural de Salamanca,-5.6639018,40.9702239
Salamanca,Santander,-5.6651459,40.9671525
Sevilla,Banco Santander,-5.9939463,37.3873517
Oviedo / Uviéu,BBVA,-5.8463009,43.3623044
Oviedo / Uviéu,Unicaja Banco,-5.8474318,43.3621847
Bargas,CCM Liberbank,-4.0205362,39.9396172
Madrid,Banco Santander,-3.6248177,40.4516758
Gijón/Xixón,Caja Rural,-5.685667,43.538024
Gijón/Xixón,Unicaja Banco,-5.6857428,43.5403742
Palma,Banc d'Espanya,2.6506396,39.5709511
Araitz,Aurrezki Kutxa,-1.9842456,43.0343249
Toledo,Caja Rural Castilla-La Mancha,-4.0301894,39.8678733
Bilbo,BBVA,-2.9298834,43.262241
Almendralejo,Caja Almendralejo,-6.4050133,38.6853644
San Fulgencio,Banco de Valencia,-0.6779689,38.1319741
Madrid,Banco Santander,-3.701739,40.4049613
Pedrola,Banco Santander,-1.215822,41.7900121
Madrid,BBVA,-3.709523,40.4156013
Madrid,Banco Santander,-3.7084882,40.4177059
La Robla,Banco Sabadell,-5.6289592,42.8029911
Sevilla,Unicaja Banco,-5.9934541,37.3868656
Fuenlabrada,Caixabank,-3.8054406,40.2956864
Irixoa,Abanca,-8.0625196,43.2842232
La Robla,Banco Santander,-5.6283445,42.8042102
La Robla,BBVA,-5.6287279,42.8024886
Fuente de Cantos,Caixabank,-6.3048572,38.2471898
Fuente de Cantos,Ibercaja,-6.3051742,38.2472003
Solares,Caixabank,-3.7377037,43.3839362
Solares,Banco Santander,-3.7373465,43.3841253
Solares,Unicaja Banco,-3.7370431,43.3835851
A Coruña,Abanca,-8.43259,43.3294329
Hondón de los Frailes,Banco Sabadell,-0.9281822,38.2736529
La Robla,Banco Santander,-5.6288624,42.8018362
Madrid,Caixa Geral,-3.6365321,40.4472773
Toledo,Banco Santander,-3.9463248,39.8680848
Villar de Peralonso,Caja España-Duero,-6.2220857,41.0323838
Pantoja,Caja Rural Castilla-La Mancha,-3.8354549,40.0446204
Peñaparda,Unicaja Banco,-6.6691281,40.3209432
Madrid,ING,-3.6693806,40.4590587
Madrid,Caixabank,-3.6403531,40.3980427
Madrid,Caixabank,-3.7024871,40.4431041
Madrid,Banco Santander,-3.7034754,40.4472931
Madrid,Caixabank,-3.6904236,40.4660692
Sevilla,Bankinter,-5.972212,37.3861094
Madrid,BBVA,-3.6649438,40.4818911
Navacerrada,Caixabank,-4.0162708,40.7287584
Valle Gran Rey,BBVA,-17.3356479,28.0881158
Madrid,Banco Sabadell,-3.6835718,40.4270939
Móstoles,Caixabank,-3.8664173,40.3292237
Madrid,BBVA,-3.6448355,40.4396966
Santiago de Compostela,Abanca,-8.5119819,42.9095533
Madrid,BBVA,-3.6862626,40.4676518
