Name,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
Total,26.423.407,23.987.211,45.678.948,,,31.333,23.757,25.235,20.300
Andalucía,4.853.675,4.302.050,8.619.616,,,26.065,20.051,21.519,17.684
Almería,429.943,392.517,763.030,,,23.520,17.528,19.608,16.036
Almería-04013,122.312,111.513,202.675,884,44,28.175,21.967,22.869,19.007
Mojácar-04064,3.737,3.476,7.517,1.136,62,26.487,18.523,21.651,16.711
Carboneras-04032,4.772,4.154,8.441,1.214,67,26.102,20.152,21.601,17.801
Huércal de Almería-04052,10.951,9.984,18.584,1.284,74,25.732,21.472,21.226,18.495
Macael-04062,3.038,2.539,5.428,1.400,85,25.131,20.939,20.672,18.475
Roquetas de Mar-04079,60.849,56.538,109.204,1.495,93,24.592,17.470,20.314,15.964
Olula del Río-04069,3.685,3.165,6.429,1.544,101,24.301,20.381,20.120,17.893
Vera-04100,10.188,9.199,19.488,1.563,103,24.220,17.969,20.038,16.333
Huércal-Overa-04053,11.118,10.156,20.609,1.594,107,24.057,18.532,20.067,16.675
Tíjola-04092,1.884,1.685,3.549,1.700,120,23.604,19.722,19.656,17.281
Fines-04044,1.153,1.012,2.286,1.892,147,22.710,19.120,19.077,16.966
Benahadux-04024,2.653,2.347,4.808,1.955,158,22.462,18.976,19.040,17.125
Albox-04006,6.256,5.589,12.408,2.026,169,22.066,17.572,18.621,16.190
Serón-04083,1.025,926,2.133,2.043,174,21.982,18.931,18.582,16.949
Purchena-04076,805,712,1.533,2.049,176,21.942,18.662,18.504,16.740
Pechina-04074,2.269,2.027,4.463,2.090,184,21.801,17.992,18.507,16.444
Viator-04101,3.164,2.827,6.271,2.124,194,21.654,18.745,18.568,16.873
Garrucha-04049,5.430,4.863,10.603,2.159,204,21.509,17.208,18.207,15.691
Pulpí-04075,6.981,6.530,11.906,2.188,208,21.330,16.972,18.101,15.420
Antas-04016,1.903,1.701,3.450,2.238,223,21.001,17.201,17.771,15.743
"Ejido, El-04902",51.251,47.376,90.135,2.246,226,20.941,15.547,17.686,14.505
Dalías-04038,2.185,1.966,4.169,2.283,239,20.813,16.181,17.708,15.036
Vélez-Rubio-04099,3.888,3.525,6.613,2.290,241,20.777,17.164,17.884,15.854
Cantoria-04031,1.799,1.590,3.569,2.303,244,20.708,17.146,17.695,16.052
Cuevas del Almanzora-04035,8.326,7.465,15.246,2.309,247,20.674,17.205,17.698,15.783
Fondón-04046,584,505,1.133,2.318,248,20.619,16.954,17.476,15.584
"Gallardos, Los-04048",1.639,1.470,3.071,2.320,249,20.615,16.722,17.803,15.622
Alhama de Almería-04011,2.140,1.873,3.878,2.339,253,20.468,16.840,17.656,15.648
Adra-04003,13.772,12.391,25.515,2.363,262,20.359,15.951,17.404,14.861
Balanegra-04904,1.817,1.655,3.016,2.400,274,20.176,15.907,17.414,14.811
Chirivel-04037,830,753,1.567,2.450,292,19.986,16.244,17.287,15.407
Gádor-04047,1.536,1.355,3.067,2.467,297,19.874,17.203,17.056,15.830
Vélez-Blanco-04098,1.044,963,1.933,2.544,337,19.380,16.000,16.859,15.055
Berja-04029,6.999,6.264,12.939,2.550,342,19.356,15.549,16.644,14.528
Rioja-04078,772,697,1.589,2.557,346,19.309,17.157,16.622,15.862
Zurgena-04103,1.603,1.435,2.990,2.571,357,19.184,16.341,16.829,15.409
Arboleas-04017,2.210,1.969,4.319,2.594,370,19.025,15.872,16.662,15.161
Sorbas-04086,1.285,1.143,2.525,2.599,373,18.979,15.565,16.508,14.867
Turre-04093,2.092,1.901,4.209,2.619,381,18.805,16.425,16.384,15.345
Tabernas-04088,1.965,1.814,4.097,2.621,383,18.784,15.817,16.307,14.868
Abla-04001,627,582,1.272,2.631,386,18.721,14.924,16.346,14.292
Vícar-04102,15.750,14.679,28.835,2.651,393,18.591,15.316,16.172,14.351
Gérgal-04050,499,447,1.191,2.670,404,18.437,15.119,16.107,14.334
Lubrín-04059,727,667,1.428,2.685,415,18.340,15.027,16.315,14.353
María-04063,746,680,1.195,2.707,430,18.218,15.128,16.043,14.338
Abrucena-04002,650,576,1.235,2.729,442,18.012,14.247,15.949,13.868
Fiñana-04045,1.258,1.113,1.984,2.739,449,17.946,15.442,15.817,14.515
Níjar-04066,20.352,18.862,33.076,2.777,472,17.625,14.611,15.500,13.757
Láujar de Andarax-04057,856,730,1.658,2.782,476,17.557,15.291,15.291,14.156
Oria-04070,1.135,1.015,2.199,2.783,477,17.555,15.049,15.448,14.432
"Mojonera, La-04903",5.773,5.402,8.677,2.817,501,17.123,14.131,15.035,13.307
Canjáyar-04030,551,509,1.134,2.841,519,16.680,13.276,14.726,13.044
Agrupación municipios pequeños-04,9.109,8.202,21.781,-,-,18.720,15.450,16.330,14.620
Cádiz,690.608,591.407,1.254.291,,,26.752,21.283,22.144,18.587
San Roque-11033,16.865,14.605,34.190,276,8,34.130,23.313,27.581,20.130
Cádiz-11012,71.019,62.966,110.914,483,22,31.357,25.957,25.478,22.136
"Puerto de Santa María, El-11027",48.168,41.182,89.960,534,24,30.847,23.933,24.998,20.583
Algeciras-11004,64.753,54.763,124.978,655,28,29.985,24.318,24.269,20.796
"Barrios, Los-11008",13.150,11.152,24.404,657,29,29.968,24.467,24.342,20.819
San Fernando-11031,53.906,44.577,93.645,886,45,28.164,24.948,23.314,21.404
Rota-11030,16.842,14.256,29.552,941,48,27.760,23.280,23.150,20.095
Puerto Real-11028,24.491,20.533,42.151,974,50,27.543,24.276,22.739,20.770
Jerez de la Frontera-11020,117.705,100.848,213.688,1.098,57,26.725,21.309,22.091,18.634
"Línea de la Concepción, La-11022",31.953,27.736,64.177,1.101,58,26.688,21.839,22.622,19.186
Tarifa-11035,9.761,8.718,18.664,1.184,65,26.255,19.572,21.786,17.353
Chiclana de la Frontera-11015,48.878,41.095,89.794,1.220,68,26.048,21.050,21.642,18.362
Conil de la Frontera-11014,13.275,11.309,23.996,1.355,82,25.356,18.593,20.914,16.719
Castellar de la Frontera-11013,1.639,1.385,2.976,1.628,111,23.905,20.061,20.177,17.644
"Bosque, El-11011",1.212,1.068,2.249,1.798,135,23.174,19.253,19.473,16.978
Ubrique-11038,9.457,8.498,16.439,1.881,143,22.752,18.926,19.149,16.664
Jimena de la Frontera-11021,3.621,3.095,6.695,1.934,155,22.550,18.221,19.171,16.506
Trebujena-11037,3.910,3.582,7.015,1.984,164,22.308,21.099,19.027,18.101
Alcalá de los Gazules-11001,3.032,2.565,5.223,2.074,182,21.861,17.909,18.500,16.304
Medina Sidonia-11023,6.483,5.424,11.764,2.108,188,21.726,18.186,18.474,16.570
Sanlúcar de Barrameda-11032,36.842,31.026,69.876,2.112,189,21.705,16.805,18.433,15.616
Vejer de la Frontera-11039,7.083,6.008,12.915,2.204,213,21.224,16.896,18.138,15.461
Olvera-11024,4.715,4.152,7.864,2.228,219,21.099,16.866,18.093,15.741
Barbate-11007,11.636,9.972,22.709,2.248,227,20.937,16.822,17.894,15.513
Arcos de la Frontera-11006,16.837,14.424,31.046,2.267,232,20.853,17.204,17.850,15.819
Villamartín-11041,6.702,5.959,12.169,2.321,250,20.608,16.958,17.608,15.664
San Martín del Tesorillo-11903,1.288,1.082,2.739,2.323,251,20.582,17.854,17.897,16.346
Benalup-Casas Viejas-11901,4.213,3.647,7.228,2.382,267,20.263,17.303,17.419,15.820
Chipiona-11016,9.750,8.366,19.915,2.404,275,20.165,16.289,17.265,15.122
Paterna de Rivera-11025,2.995,2.468,5.505,2.472,301,19.849,17.498,17.184,16.003
Setenil de las Bodegas-11034,1.525,1.342,2.624,2.485,308,19.760,17.249,17.284,16.072
Algar-11003,791,680,1.436,2.489,310,19.743,17.499,17.186,15.964
Zahara-11042,752,683,1.355,2.538,333,19.484,16.696,16.995,15.682
Grazalema-11019,1.135,1.006,1.998,2.547,339,19.366,16.623,16.742,15.375
San José del Valle-11902,2.352,2.032,4.472,2.569,355,19.192,16.561,16.651,15.392
Algodonales-11005,3.175,2.742,5.443,2.585,364,19.088,15.684,16.746,14.964
Prado del Rey-11026,3.178,2.780,5.667,2.609,376,18.889,16.227,16.389,15.069
Espera-11017,2.114,1.817,3.777,2.655,396,18.571,16.245,16.211,15.227
"Gastor, El-11018",1.077,960,1.698,2.692,419,18.306,15.764,16.277,14.913
Bornos-11010,4.093,3.567,7.533,2.719,435,18.137,15.567,15.933,14.666
Alcalá del Valle-11002,3.116,2.729,4.936,2.803,490,17.293,15.612,15.382,14.985
Puerto Serrano-11029,4.139,3.737,6.898,2.892,551,15.288,13.259,13.784,12.583
Agrupación municipios pequeños-11,980,871,2.014,-,-,19.753,15.960,16.989,15.023
Córdoba,457.606,405.138,772.152,,,24.463,18.931,20.313,16.906
Córdoba-14021,192.999,172.028,322.811,687,30,29.749,23.210,24.044,19.936
Añora-14006,913,811,1.503,1.079,56,26.845,20.002,21.982,17.536
Pozoblanco-14054,10.703,9.579,16.946,1.287,75,25.709,20.383,21.173,17.852
Peñarroya-Pueblonuevo-14052,6.045,4.935,10.289,1.506,95,24.504,20.680,20.464,18.106
Villafranca de Córdoba-14067,2.729,2.431,4.886,1.683,118,23.682,19.343,19.837,17.130
Belmez-14009,1.700,1.356,2.818,1.735,127,23.450,19.564,19.871,17.560
Dos Torres-14023,1.507,1.310,2.365,1.736,128,23.447,17.580,19.424,15.983
Montilla-14042,13.731,11.881,22.333,1.760,131,23.315,18.992,19.544,16.812
Obejo-14047,1.031,905,2.085,1.788,134,23.234,19.996,19.637,17.548
Fernán-Núñez-14027,5.887,5.280,9.638,1.832,136,23.008,18.978,19.304,16.919
Espiel-14026,1.343,1.152,2.341,1.911,150,22.613,19.999,19.176,17.508
Puente Genil-14056,16.794,14.567,29.844,1.996,166,22.252,18.009,18.762,16.284
Cabra-14013,11.832,10.587,20.024,2.065,180,21.879,17.961,18.522,16.387
Lucena-14038,24.209,21.052,43.086,2.099,187,21.759,18.168,18.422,16.376
"Carpio, El-14018",2.501,2.237,4.325,2.122,192,21.664,18.211,18.434,16.451
Alcaracejos-14003,830,756,1.501,2.146,200,21.557,17.872,18.363,16.197
Montemayor-14041,2.298,2.051,3.885,2.226,218,21.109,17.287,17.925,15.778
Villanueva del Duque-14070,826,721,1.404,2.262,230,20.872,16.736,17.877,15.679
"Victoria, La-14065",1.318,1.207,2.335,2.265,231,20.862,16.644,17.805,15.524
"Carlota, La-14017",8.103,7.288,14.381,2.295,242,20.760,16.724,17.682,15.521
"Rambla, La-14057",4.431,3.992,7.438,2.304,245,20.698,16.387,17.537,15.154
Palma del Río-14049,11.136,10.033,20.546,2.337,252,20.499,16.176,17.461,15.193
Posadas-14053,4.070,3.652,7.224,2.357,260,20.382,16.752,17.451,15.433
Rute-14058,5.729,5.065,9.765,2.443,288,20.011,16.394,17.154,15.209
Montalbán de Córdoba-14040,2.757,2.458,4.435,2.449,291,19.996,15.446,17.093,14.556
Villaralto-14072,682,619,1.075,2.473,302,19.845,15.322,17.192,14.856
Hinojosa del Duque-14035,4.104,3.397,6.563,2.476,303,19.821,16.792,17.066,15.524
Castro del Río-14019,4.605,3.987,7.612,2.479,305,19.808,15.922,17.054,15.048
Fuente Obejuna-14029,2.561,2.134,4.346,2.483,307,19.771,16.433,17.036,15.339
"Viso, El-14074",1.533,1.376,2.511,2.495,314,19.698,16.890,17.046,15.676
Guadalcázar-14033,927,842,1.556,2.500,316,19.662,16.045,16.851,15.054
Priego de Córdoba-14055,13.486,11.743,21.826,2.513,321,19.608,15.719,16.878,14.797
Montoro-14043,5.564,4.854,9.049,2.515,323,19.594,16.536,16.892,15.356
Pedro Abad-14050,1.579,1.428,2.817,2.517,324,19.585,17.103,16.964,15.785
Villa del Río-14066,3.776,3.326,6.863,2.548,340,19.360,16.116,16.682,15.097
Belalcázar-14008,1.769,1.484,3.099,2.553,344,19.344,15.289,16.645,14.459
Pedroche-14051,910,833,1.456,2.565,351,19.225,16.006,16.671,14.977
Almodóvar del Río-14005,3.858,3.484,7.981,2.574,358,19.158,16.159,16.582,15.128
Baena-14007,10.686,9.445,18.436,2.577,359,19.139,15.859,16.485,14.831
Aguilar de la Frontera-14002,7.719,6.752,13.210,2.581,361,19.114,15.748,16.493,14.784
Hornachuelos-14036,2.433,2.221,4.390,2.591,367,19.048,16.218,16.438,15.077
