municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos
A Arnoia,952.0,473.0,479.0,46.001883957284576,20.69480460591543,218.0,602.0,393.0,Unknown,0.0,0.0,Unknown
A Baña,3389.0,1597.0,1792.0,34.55052733604496,98.08822791727448,760.0,2180.0,1325.0,23.194,0.0,0.0,Unknown
A Bola,1075.0,508.0,567.0,30.7990266898203,34.903700393730595,208.0,663.0,536.0,19.074,0.0,0.0,Unknown
A Cañiza,5115.0,2512.0,2603.0,48.69775115325253,105.0356511105209,1441.0,3612.0,1561.0,20.975,0.742729832,0.710382514,Unknown
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,Unknown
a carida,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0
A Coruña,245468.0,113806.0,131662.0,6364.888022278336,38.56595734925966,74464.0,185187.0,59663.0,33.057,6.341972839193549,0.24579141048387096,20.0
A Estrada,20261.0,9736.0,10525.0,72.17121514546173,280.7351928211791,6024.0,14932.0,5729.0,23.865,1.186745952105263,0.15405882105263158,Unknown
a feira do monte,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0
A Fonsagrada,3328.0,1751.0,1577.0,7.590808397144948,438.42497740447857,671.0,2143.0,1446.0,19.939,0.9785345733333334,0.7555106566666666,2.0
A Guarda,9991.0,4896.0,5095.0,477.9872766412933,20.90223001374526,3223.0,7805.0,2208.0,24.585,3.16657707375,0.0,Unknown
A Gudiña,1232.0,625.0,607.0,7.193416628233302,171.26771097402408,301.0,862.0,446.0,20.73,0.0,3.14926661,Unknown
A Illa de Arousa,4951.0,2435.0,2516.0,843.3938879825445,5.8703294754045805,1676.0,3943.0,1015.0,18.933,5.06873648,0.0,Unknown
A Lama,2410.0,1195.0,1215.0,21.563309712790616,111.7639189947947,570.0,1570.0,860.0,19.648,0.0,0.0,Unknown
A Laracha,11521.0,5669.0,5852.0,91.44153580180844,125.99307195551444,3255.0,8357.0,2945.0,25.63,1.5737127027272726,0.4649021818181818,Unknown
A Merca,1939.0,968.0,971.0,38.02828716578168,50.98836010012925,354.0,1123.0,788.0,21.877,0.0,1.44230769,Unknown
A Mezquita,1006.0,528.0,478.0,9.647647137151983,104.2741287796492,234.0,620.0,419.0,19.833,0.0,0.0,Unknown
A Pastoriza,2918.0,1474.0,1444.0,16.675260945076666,174.9897653542587,748.0,1993.0,1063.0,21.966,0.0,0.0,Unknown
A Peroxa,1826.0,906.0,920.0,33.49310226972829,54.51868821510672,346.0,1096.0,775.0,20.565,0.0,0.0,Unknown
