municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos
A Coruña,245468.0,113806.0,131662.0,6364.888022278336,38.56595734925966,74464.0,185187.0,59663.0,33.057,6.341972839193549,0.24579141048387096,20.0
A Fonsagrada,3328.0,1751.0,1577.0,7.590808397144948,438.42497740447857,671.0,2143.0,1446.0,19.939,0.9785345733333334,0.7555106566666666,2.0
Abegondo,5494.0,2701.0,2793.0,65.48556953419923,83.8963460053716,1418.0,3819.0,1635.0,27.317,0.0,1.916178535,1.0
Adra,25501.0,13058.0,12443.0,284.3106362345216,89.69414699970909,10527.0,21405.0,3454.0,20.359,2.1436112325,0.0,1.0
Agramunt,5464.0,2763.0,2701.0,68.84256073510433,79.3695054578902,1963.0,4327.0,1066.0,29.313,3.8876237799999998,0.7575757575,4.0
Alaior,9477.0,4776.0,4701.0,86.31382320164798,109.7970133689902,3360.0,7495.0,1517.0,29.822,6.198998926,4.650833308,8.0
Alange,1850.0,948.0,902.0,11.542446934973876,160.2779731561475,684.0,1476.0,404.0,18.853,0.0,0.0,1.0
Albacete,172722.0,84365.0,88357.0,153.25933477606057,1126.9917114828788,67232.0,145295.0,27755.0,28.2185,5.099009379912281,0.351007516491228,3.0
Albolote,19128.0,9428.0,9700.0,243.40376938871844,78.58547157276097,7860.0,16461.0,2285.0,29.146,5.126859339,2.268173151,1.0
Albuñol,7473.0,4135.0,3338.0,118.34918618003628,63.14365346485654,3237.0,6202.0,926.0,18.568,4.05944599,1.1695906433333334,1.0
Alburquerque,5245.0,2614.0,2631.0,7.249710832735666,723.4771318486931,1858.0,4079.0,1261.0,19.086,0.6185567,1.262127945,3.0
Alcalá de Henares,195982.0,95061.0,100921.0,2222.1104779392454,88.19633494629439,71904.0,160356.0,33395.0,32.213,8.24246127112,0.85781361208,7.0
Alcantarilla,42559.0,21073.0,21486.0,2619.9267282921064,16.2443474240761,17464.0,35892.0,5730.0,25.392,3.8046839738461538,0.5139861038461538,1.0
Alcarràs,9678.0,5070.0,4608.0,84.25012233103571,114.87223676629438,3955.0,8264.0,1158.0,26.498,5.2324684225,4.52886025,1.0
Alcobendas,116589.0,55719.0,60870.0,2576.369996713124,45.253205148616736,46173.0,97574.0,18463.0,60.576,10.681617661343283,3.445025360597015,5.0
Alcoletge,3492.0,1843.0,1649.0,210.97187244273132,16.551969509337834,1387.0,2992.0,427.0,28.703,5.11026678,2.12264151,1.0
Alcorcón,170817.0,81998.0,88819.0,5084.468139198022,33.5958443092817,57682.0,132059.0,37443.0,32.227,9.230539342750001,0.07427169616666666,2.0
Alcúdia,20651.0,10443.0,10208.0,343.3964386097941,60.13749031179093,8288.0,17413.0,2380.0,31.17,7.11302473090909,4.0991769063636365,2.0
Aldeadávila de la Ribera,1181.0,584.0,597.0,25.58241355171045,46.16452617392068,254.0,735.0,504.0,22.726,0.0,1.98019802,4.0
Aldeamayor de San Martín,5789.0,3001.0,2788.0,108.07050261515911,53.56688328372754,2187.0,5009.0,446.0,30.03,0.0,4.22724015,3.0
Alella,9954.0,4879.0,5075.0,1025.957620995483,9.702155134187384,3403.0,7798.0,1966.0,62.304,8.4228877825,8.78297242,2.0
Alfacar,5497.0,2808.0,2689.0,328.6071888503683,16.728179378032614,2126.0,4560.0,818.0,24.754,3.01245906,3.22326367,1.0
Alfaro,9562.0,4794.0,4768.0,49.30735000759249,193.92646326617867,3256.0,7436.0,2024.0,29.165,3.880471031666667,0.35921336333333337,1.0
Alfarràs,2759.0,1427.0,1332.0,244.60750272654087,11.279294254045944,959.0,2170.0,652.0,26.182,3.571524435,0.0,1.0
Algarinejo,2440.0,1258.0,1182.0,26.49024868187516,92.10936557456584,758.0,1837.0,754.0,14.94,0.0,0.0,1.0
Algeciras,122982.0,60664.0,62318.0,1398.0968010128622,87.9638662436712,49479.0,102817.0,18597.0,29.985,3.890246527586207,1.2827324788505747,6.0
Algemesí,27305.0,13532.0,13773.0,661.1969857866865,41.29631650923627,10432.0,22525.0,4760.0,25.681,3.5633061125,0.0,1.0
Alhaurín de la Torre,41868.0,20802.0,21066.0,506.2630867382322,82.70008439633328,16772.0,35024.0,4887.0,31.681,4.01746019,6.57236163952381,4.0
Alhendín,9674.0,4900.0,4774.0,191.3470396878212,50.55735388320058,4159.0,8221.0,947.0,26.518,5.344181848,3.156060916,1.0
Alicante/Alacant,337304.0,163052.0,174252.0,13281.984104612337,25.395603348363213,120889.0,269556.0,62021.0,28.18,5.635056940816327,0.5459344844489795,3.0
Almazán,5411.0,2759.0,2652.0,32.492817280298034,166.5291117517517,1912.0,4212.0,1314.0,26.686,4.197665626666667,1.04331843,6.0
Almendralejo,33741.0,16700.0,17041.0,205.4249488526305,164.24976707286612,13816.0,28163.0,5305.0,23.473,3.275633729,0.3756077585,18.0
Almería,200753.0,98141.0,102612.0,678.8538844726601,295.72343120043683,79407.0,165603.0,31248.0,25.8475,4.996637463458647,0.9100808494736843,12.0
Almogía,3859.0,2002.0,1857.0,23.691822723510487,162.88320426146598,1344.0,2995.0,775.0,19.537,0.0,0.0,1.0
Almoradí,21404.0,10773.0,10631.0,501.336958452754,42.69384021887769,8631.0,17474.0,3068.0,22.657,3.418421594545454,1.2654076181818181,7.0
Almuñécar,25890.0,12769.0,13121.0,310.5648073774578,83.36424277633466,9277.0,20878.0,5499.0,22.865,6.193106706,1.7593883666666665,2.0
Almussafes,8984.0,4493.0,4491.0,834.8070597641199,10.761768117459964,3459.0,7508.0,1424.0,30.098,3.93096462,1.536562695,2.0
Alpedrete,14959.0,7351.0,7608.0,1180.7931976510924,12.66860279154502,5709.0,12500.0,1864.0,39.829,6.1906349574999995,6.9835737175,4.0
Alzira,44865.0,21930.0,22935.0,406.05574552762073,110.48975539480008,16697.0,36430.0,7963.0,26.364,3.7150346018750002,0.577027338125,5.0
Amposta,21317.0,10776.0,10541.0,153.8393550475941,138.5666235626446,7631.0,16768.0,3838.0,25.903,4.329571221666667,1.2987214083333334,2.0
Ampuero,4368.0,2189.0,2179.0,134.53674954063874,32.46696545675487,1362.0,3329.0,890.0,26.494,3.9651922166666664,0.0,3.0
Anglès,5709.0,2850.0,2859.0,351.6012460441657,16.237143821961528,2136.0,4475.0,1044.0,30.009,4.847720313333333,4.86650356,1.0
Anglesola,1356.0,686.0,670.0,57.27300360382632,23.676076243177995,449.0,996.0,332.0,27.811,4.06976744,0.0,2.0
Antas de Ulla,1935.0,954.0,981.0,18.67718004403615,103.60236371003282,435.0,1202.0,806.0,20.319,0.0,0.0,1.0
Antequera,41348.0,20247.0,21101.0,55.27549689932219,748.034885607822,16314.0,34274.0,6880.0,25.736,3.2061611144827586,0.6876230168965518,4.0
Arahal,19497.0,9651.0,9846.0,96.9381595733295,201.12822531204927,8211.0,16511.0,3054.0,21.039,0.0,0.0,1.0
Aranjuez,59833.0,29126.0,30707.0,316.3855334605716,189.11420931784315,23311.0,49461.0,9576.0,31.151,7.02136767625,0.796884271875,4.0
Arbeca,2141.0,1114.0,1027.0,36.77193508981182,58.22375120511931,688.0,1572.0,590.0,26.422,1.833333335,0.0,3.0
Ares,5997.0,2951.0,3046.0,329.4259696023943,18.2043935614371,1594.0,4212.0,1459.0,29.846,3.4361514325,1.52615798,1.0
Arganda del Rey,56386.0,28161.0,28225.0,701.990353000214,80.32304113441685,22554.0,48134.0,6420.0,29.48,6.982030869230769,2.7762105561538464,1.0
Ariany,897.0,458.0,439.0,38.76904446036496,23.137015948820626,263.0,620.0,240.0,30.415,0.0,3.80978227,1.0
Arjonilla,3545.0,1794.0,1751.0,83.29924532911288,42.55740836539165,1372.0,2916.0,694.0,18.05,0.0,0.0,3.0
Arquillos,1708.0,863.0,845.0,25.886807219070764,65.97955420094138,686.0,1437.0,330.0,16.057,0.0,0.0,1.0
Arroyo del Ojanco,2243.0,1134.0,1109.0,39.13817489257711,57.30977507654308,837.0,1854.0,469.0,16.409,0.0,0.0,3.0
Artés,5782.0,2908.0,2874.0,323.81969033843274,17.855615864362896,2073.0,4642.0,1006.0,31.002,5.27687185,4.2069638975,2.0
Artesa de Lleida,1525.0,808.0,717.0,63.39253622432432,24.056459811034397,523.0,1234.0,304.0,28.12,0.0,2.90329928,2.0
Artesa de Segre,3441.0,1772.0,1669.0,19.51145179607591,176.35796843636436,1235.0,2700.0,747.0,26.561,3.627170355,2.6849162399999997,3.0
Arzúa,5964.0,2981.0,2983.0,38.35868058754857,155.47980036456067,1610.0,4238.0,1815.0,24.774,1.36374715,0.885823712,1.0
As Pontes de García Rodríguez,10032.0,4900.0,5132.0,40.15461007765703,249.83432738105557,2870.0,7758.0,2479.0,31.627,2.0931452925,0.8095929625,1.0
Aspe,21088.0,10612.0,10476.0,299.06264058732546,70.51365546223204,8037.0,17096.0,3441.0,23.223,2.004251797368421,0.22025051421052633,1.0
Astorga,10553.0,4940.0,5613.0,225.5951746605573,46.77848281054156,3231.0,8044.0,2985.0,25.792,3.3963316642857144,0.96841782,3.0
Atarfe,19198.0,9627.0,9571.0,406.2820703432501,47.25288512924148,8336.0,16451.0,2103.0,23.556,3.8071063808333334,2.106571695,6.0
Ávila,57949.0,27608.0,30341.0,251.1828621855667,230.7044337968764,20946.0,46405.0,11252.0,27.118499999999997,4.842496725128205,1.0619150912820514,2.0
Avilés,76874.0,36292.0,40582.0,2876.654908097359,26.72340007958933,22374.0,59406.0,19309.0,29.817,5.233194347352941,0.2995847267647059,5.0
Avinyó,2286.0,1148.0,1138.0,35.94268596718593,63.60125679218898,801.0,1754.0,496.0,30.176,4.86111111,2.96709604,1.0
Badajoz,150610.0,72942.0,77668.0,104.55268358392335,1440.5177833537568,59259.0,126356.0,24174.0,26.225499999999997,4.282166172314815,0.7702028377777778,28.0
Badalona,223006.0,110001.0,113005.0,10637.405799712573,20.96432195959148,80641.0,177176.0,40565.0,31.215,9.219554442896552,1.1116502830344828,13.0
Baeza,15762.0,7799.0,7963.0,81.7640612747876,192.77418164232384,6362.0,13218.0,2684.0,23.708,2.3173894184615382,0.0,8.0
Bagà,2145.0,1065.0,1080.0,49.75845360921124,43.10825285782032,637.0,1588.0,564.0,30.066,4.59134615,2.62482759,3.0
Baiona,12286.0,6043.0,6243.0,356.45414065601244,34.467266889897935,3996.0,9715.0,2419.0,31.383,4.7756938175,3.80946220875,1.0
Balaguer,17409.0,8918.0,8491.0,304.92844940235267,57.09208187730903,6704.0,13876.0,2965.0,27.99,4.065418378888889,1.4735402177777779,6.0
Baños de la Encina,2596.0,1344.0,1252.0,6.6171130749028215,392.3161007851033,951.0,2094.0,517.0,18.98,0.0,0.0,3.0
Banyoles,20168.0,10040.0,10128.0,1829.571228455542,11.02334781304202,8009.0,16323.0,3292.0,33.766,5.805266677500001,3.8802160391666667,2.0
Barbastro,17146.0,8342.0,8804.0,159.35354766412928,107.59722799607049,6163.0,13507.0,3437.0,29.24,4.90936945090909,0.0,1.0
Barbate,22761.0,11407.0,11354.0,160.09995976073012,142.16743111001642,8835.0,18928.0,3623.0,20.937,1.830659274375,0.4826574225,2.0
Barcelona,1636732.0,778744.0,857988.0,16243.155434131124,100.76441160938457,579906.0,1271353.0,348990.0,40.293499999999995,12.452728309625467,0.5738076721722847,70.0
Bargas,10611.0,5313.0,5298.0,118.28154976562578,89.70968017434365,4047.0,8660.0,1432.0,31.447,5.874969972,4.081745870000001,3.0
Beas de Segura,5115.0,2678.0,2437.0,32.094727557273266,159.37197132682454,1933.0,4128.0,1063.0,16.944,0.5476190479999999,0.0,1.0
Begíjar,2998.0,1503.0,1495.0,70.05954917053822,42.79216802697802,1183.0,2517.0,558.0,16.731,0.0,0.0,3.0
Bellpuig,5151.0,2737.0,2414.0,147.07958135674767,35.02185655197124,1926.0,4151.0,909.0,29.096,4.63358539,2.0646316833333334,4.0
Bellvís,2258.0,1153.0,1105.0,48.65062926160987,46.41255486867431,765.0,1701.0,565.0,27.156,4.21686747,1.2295082,2.0
Bélmez de la Moraleda,1542.0,768.0,774.0,31.18904393951496,49.44043821895941,543.0,1191.0,376.0,16.108,0.0,0.0,2.0
Belmonte,1810.0,891.0,919.0,19.539429598598016,92.63320563512612,561.0,1388.0,550.0,20.759,0.0,0.0,2.0
Belvís de la Jara,1543.0,776.0,767.0,13.532276921077292,114.02367901566436,439.0,1012.0,517.0,20.076,0.0,0.0,1.0
Bembibre,8455.0,4067.0,4388.0,133.3193673150486,63.41914284681451,2783.0,6882.0,2097.0,25.661,2.601281474285714,0.6763833057142856,1.0
Benaguasil,11369.0,5831.0,5538.0,451.0581219639871,25.20517744032045,4050.0,8855.0,2023.0,24.485,4.337854937142857,2.439664315714286,1.0
Benalmádena,70204.0,34383.0,35821.0,2608.842237906849,26.91002122701246,25232.0,57505.0,10241.0,30.392,8.03026104388889,3.8031048466666664,1.0
Benavente,17523.0,8428.0,9095.0,388.4059577894444,45.11516790249456,6356.0,14554.0,3541.0,24.182,3.3125273793333334,0.0,9.0
Benetússer,15430.0,7511.0,7919.0,19820.82585467317,0.778474121771372,5143.0,11790.0,2878.0,25.518,5.224505641,0.0,2.0
Benicarló,27658.0,13799.0,13859.0,578.2212649451747,47.832900096855575,10031.0,21903.0,4841.0,24.56,4.178565718571429,1.3127585592857145,5.0
Benidorm,69118.0,34455.0,34663.0,1794.91385406797,38.50769764986317,23870.0,54228.0,13330.0,25.31,6.712952871333333,0.6452485691111112,11.0
Benifaió,11967.0,5918.0,6049.0,593.756751571519,20.154718187753616,4101.0,9441.0,2489.0,27.49,4.012850515555556,0.7889647177777778,4.0
Bescanó,5094.0,2567.0,2527.0,141.2765182130442,36.05694749865138,1945.0,4173.0,768.0,34.061,4.446437406666667,5.5027254433333335,1.0
Betanzos,13030.0,6187.0,6843.0,538.1808323377727,24.211192998828544,3874.0,9807.0,3109.0,27.769,3.8459167833333336,1.1760310733333332,2.0
Bienvenida,2087.0,1074.0,1013.0,22.643246609841203,92.16876166039496,747.0,1640.0,488.0,18.677,0.0,0.0,1.0
Biescas,1550.0,813.0,737.0,8.19701470080732,189.0932316916964,478.0,1164.0,315.0,29.014,6.25,4.50819672,3.0
Blanes,40274.0,20054.0,20220.0,2265.7194385314924,17.775369410302304,13941.0,31486.0,7304.0,28.914,7.0195714449999995,2.003289583181818,1.0
Boal,1452.0,732.0,720.0,12.071325609243996,120.28504962935352,307.0,961.0,610.0,23.011,3.29113924,2.39130435,4.0
Boiro,18955.0,9206.0,9749.0,219.6391227008133,86.30065430474336,6340.0,14869.0,3975.0,24.063,2.399713208666667,0.0,1.0
Bollullos de la Mitación,11099.0,5546.0,5553.0,177.4043061651321,62.56330660693653,4498.0,9415.0,1232.0,29.217,0.0,4.624203368333333,2.0
