municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,municipio_key,provincia
A Arnoia,952.0,473.0,479.0,46.001883957284576,20.69480460591543,218.0,602.0,393.0,22.278,0.0,0.0,1.0,a arnoia,Ourense
A Baña,3389.0,1597.0,1792.0,34.55052733604496,98.08822791727448,760.0,2180.0,1325.0,23.194,0.0,0.0,1.0,a bana,"Coruña, A"
A Bola,1075.0,508.0,567.0,30.7990266898203,34.903700393730595,208.0,663.0,536.0,19.074,0.0,0.0,2.0,a bola,Ourense
A Cañiza,5115.0,2512.0,2603.0,48.69775115325253,105.0356511105209,1441.0,3612.0,1561.0,20.975,0.742729832,0.710382514,3.0,a caniza,Pontevedra
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,1.0,a capela,"Coruña, A"
a carida,3780.0,1850.0,1930.0,48.33043973572708,44.75873198035128,Unknown,9870.0,1788.0,25.508,2.9615547875,0.67626172125,1.0,a carida,
A Coruña,245468.0,113806.0,131662.0,6364.888022278336,38.56595734925966,74464.0,185187.0,59663.0,33.057,6.341972839193549,0.2457914104838709,20.0,a coruna,"Coruña, A"
A Estrada,20261.0,9736.0,10525.0,72.17121514546173,280.7351928211791,6024.0,14932.0,5729.0,23.865,1.186745952105263,0.1540588210526315,3.0,a estrada,Pontevedra
a feira do monte,3780.0,1850.0,1930.0,48.33043973572708,44.75873198035128,Unknown,9870.0,1788.0,25.508,2.9615547875,0.67626172125,1.0,a feira do monte,
A Fonsagrada,3328.0,1751.0,1577.0,7.590808397144948,438.42497740447857,671.0,2143.0,1446.0,19.939,0.9785345733333334,0.7555106566666666,2.0,a fonsagrada,Lugo
A Guarda,9991.0,4896.0,5095.0,477.9872766412933,20.90223001374526,3223.0,7805.0,2208.0,24.585,3.16657707375,0.0,2.0,a guarda,Pontevedra
A Gudiña,1232.0,625.0,607.0,7.193416628233302,171.26771097402408,301.0,862.0,446.0,20.73,0.0,3.14926661,1.0,a gudina,Ourense
A Illa de Arousa,4951.0,2435.0,2516.0,843.3938879825445,5.8703294754045805,1676.0,3943.0,1015.0,18.933,5.06873648,0.0,2.0,a illa de arousa,Pontevedra
A Lama,2410.0,1195.0,1215.0,21.563309712790616,111.7639189947947,570.0,1570.0,860.0,19.648,0.0,0.0,3.0,a lama,Pontevedra
A Laracha,11521.0,5669.0,5852.0,91.44153580180844,125.99307195551444,3255.0,8357.0,2945.0,25.63,1.5737127027272726,0.4649021818181818,1.0,a laracha,"Coruña, A"
A Merca,1939.0,968.0,971.0,38.02828716578168,50.98836010012925,354.0,1123.0,788.0,21.877,0.0,1.44230769,4.0,a merca,Ourense
A Mezquita,1006.0,528.0,478.0,9.647647137151983,104.2741287796492,234.0,620.0,419.0,19.833,0.0,0.0,2.0,a mezquita,Ourense
A Pastoriza,2918.0,1474.0,1444.0,16.675260945076666,174.9897653542587,748.0,1993.0,1063.0,21.966,0.0,0.0,1.0,a pastoriza,Lugo
A Peroxa,1826.0,906.0,920.0,33.49310226972829,54.51868821510672,346.0,1096.0,775.0,20.565,0.0,0.0,1.0,a peroxa,Ourense
a pobra de san xiao,3780.0,1850.0,1930.0,48.33043973572708,44.75873198035128,Unknown,9870.0,1788.0,25.508,2.9615547875,0.67626172125,1.0,a pobra de san xiao,
A Pobra de Trives,2015.0,1000.0,1015.0,23.93237176523878,84.1955832779909,482.0,1359.0,759.0,23.508,1.31313667,0.0,1.0,a pobra de trives,Ourense
A Pobra do Brollón,1615.0,794.0,821.0,9.138827850374428,176.7185055284559,266.0,871.0,814.0,21.871,0.0,0.0,1.0,a pobra do brollon,Lugo
A Pobra do Caramiñal,9291.0,4543.0,4748.0,287.01050660088896,32.37163722692521,2894.0,7218.0,2172.0,25.581,2.4021207185714286,0.5,1.0,a pobra do caraminal,"Coruña, A"
a ponte do porto,3780.0,1850.0,1930.0,48.33043973572708,44.75873198035128,Unknown,9870.0,1788.0,25.508,2.9615547875,0.67626172125,1.0,a ponte do porto,
A Pontenova,2207.0,1058.0,1149.0,16.246235762527967,135.84685291164232,496.0,1459.0,824.0,23.019,1.12092598,0.0,1.0,a pontenova,Lugo
A Rúa,4245.0,2109.0,2136.0,118.21328033920476,35.9096709592972,1166.0,3042.0,1317.0,26.702,1.7448162320000002,0.0,1.0,a rua,Ourense
A Teixeira,336.0,172.0,164.0,12.155960604584964,27.640760852191978,45.0,167.0,165.0,19.296,0.0,0.0,1.0,a teixeira,Ourense
A Veiga,886.0,452.0,434.0,3.0469085203442843,290.7865444873569,158.0,504.0,400.0,21.369,0.0,0.0,1.0,a veiga,Ourense
Ababuj,76.0,44.0,32.0,1.3996189137663309,54.300495122266085,14.0,48.0,28.0,27.619,0.0,0.0,1.0,ababuj,Teruel
Abades,835.0,417.0,418.0,26.11005116450671,31.980021591649585,271.0,637.0,208.0,21.867,0.0,0.0,1.0,abades,Segovia
Abadía,359.0,193.0,166.0,7.964697249796023,45.07390409713239,116.0,246.0,89.0,16.233,0.0,0.0,1.0,abadia,Cáceres
Abadín,2297.0,1144.0,1153.0,11.745771388858964,195.55974009325075,462.0,1389.0,1039.0,18.664,0.0,0.0,1.0,abadin,Lugo
Abadiño,7618.0,3829.0,3789.0,211.3451087632492,36.04531017812084,2582.0,6097.0,1436.0,27.935,0.0,0.0,1.0,abadino,Bizkaia
Abáigar,84.0,49.0,35.0,17.280722165140464,4.860907964219748,24.0,62.0,25.0,31.251,0.0,0.0,1.0,abaigar,Navarra
Abajas,29.0,19.0,10.0,0.8268235216920634,35.073990082735655,3.0,15.0,12.0,21.137,0.0,0.0,2.0,abajas,Burgos
Ábalos,248.0,144.0,104.0,13.61149052255397,18.21990028124172,75.0,193.0,62.0,26.786,0.0,0.0,1.0,abalos,"Rioja, La"
Abaltzisketa,312.0,168.0,144.0,27.91068132161173,11.17851608152657,117.0,266.0,54.0,24.464,0.0,0.0,1.0,abaltzisketa,Gipuzkoa
Abánades,55.0,34.0,21.0,1.524268754024838,36.08287570992469,5.0,26.0,27.0,22.597,0.0,0.0,2.0,abanades,Guadalajara
Abanilla,6116.0,3099.0,3017.0,25.95725119164008,235.6181690752274,1979.0,4499.0,1564.0,22.315,0.52868077,0.3823238616666666,3.0,abanilla,Murcia
Abanto,89.0,53.0,36.0,1.3940392879814487,63.84325088059094,16.0,50.0,47.0,22.433,0.0,0.0,1.0,abanto,Zaragoza
Abanto y Ciérvana-Abanto Zierbena,9436.0,4683.0,4753.0,582.6120087872054,16.196027300642935,3057.0,7849.0,1696.0,17.964,0.0,0.0,2.0,abanto y ciervana-abanto zierbena,Bizkaia
Abarán,13066.0,6531.0,6535.0,113.58034174100013,115.03751265157048,5041.0,10785.0,2245.0,21.57,1.74554629,0.5151806,1.0,abaran,Murcia
Abarca de Campos,45.0,28.0,17.0,3.949130356776239,11.394913799891498,6.0,28.0,14.0,22.636,0.0,0.0,2.0,abarca de campos,Palencia
Abárzuza/Abartzuza,538.0,270.0,268.0,23.36950521833084,23.021454454157524,191.0,410.0,140.0,31.251,0.0,0.0,1.0,abarzuza,Navarra
Abaurregaina/Abaurrea Alta,128.0,80.0,48.0,5.993300396867753,21.35718077253327,18.0,70.0,51.0,31.251,0.0,0.0,1.0,abaurregaina,Navarra
Abaurrepea/Abaurrea Baja,29.0,19.0,10.0,2.6632060265464004,10.88913126169465,6.0,19.0,14.0,31.251,0.0,0.0,1.0,abaurrepea,Navarra
Abegondo,5494.0,2701.0,2793.0,65.48556953419923,83.8963460053716,1418.0,3819.0,1635.0,27.317,0.0,1.916178535,1.0,abegondo,"Coruña, A"
Abejar,273.0,142.0,131.0,11.650543886783742,23.4323824409338,67.0,196.0,106.0,21.77,0.0,0.0,1.0,abejar,Soria
Abejuela,57.0,36.0,21.0,0.657717457089486,86.66335275976238,4.0,30.0,19.0,27.619,0.0,0.0,1.0,abejuela,Teruel
Abella de la Conca,171.0,89.0,82.0,2.195420203068589,77.88941714255401,49.0,134.0,47.0,28.676,0.0,0.0,1.0,abella de la conca,Lleida
Abengibre,748.0,365.0,383.0,24.31006267051057,30.76915144720563,195.0,533.0,224.0,19.488,0.0,0.0,1.0,abengibre,Albacete
Abenójar,1339.0,691.0,648.0,3.162260031032358,423.4313392510189,421.0,984.0,411.0,19.356,0.0,0.0,1.0,abenojar,Ciudad Real
Aberin,346.0,187.0,159.0,16.284486488227152,21.24721588550798,101.0,277.0,79.0,31.251,0.0,0.0,1.0,aberin,Navarra
Abertura,400.0,204.0,196.0,6.3788090484496,62.70763036827727,114.0,278.0,125.0,17.303,0.0,0.0,1.0,abertura,Cáceres
Abezames,58.0,29.0,29.0,2.493008637460185,23.26506179260131,8.0,30.0,30.0,21.648,0.0,0.0,2.0,abezames,Zamora
Abia de la Obispalía,57.0,35.0,22.0,0.9039673241749264,63.05537653368757,7.0,32.0,32.0,21.181,0.0,0.0,1.0,abia de la obispalia,Cuenca
Abia de las Torres,167.0,90.0,77.0,6.14890986687538,27.15928572959591,43.0,123.0,41.0,22.636,0.0,0.0,2.0,abia de las torres,Palencia
Abiego,271.0,138.0,133.0,7.095847286154674,38.191351796532,52.0,163.0,74.0,24.076,0.0,0.0,2.0,abiego,Huesca
Abizanda,143.0,73.0,70.0,3.189225276848708,44.838475675603306,43.0,110.0,41.0,24.076,0.0,0.0,2.0,abizanda,Huesca
Abla,1258.0,646.0,612.0,27.80451342802707,45.24445296467337,378.0,891.0,344.0,18.721,0.0,0.0,1.0,abla,Almería
Ablanque,60.0,33.0,27.0,1.1674200650643571,51.39538183001192,3.0,32.0,28.0,22.597,0.0,0.0,2.0,ablanque,Guadalajara
Ablitas,2480.0,1252.0,1228.0,32.009780650284256,77.47631972535797,842.0,1922.0,561.0,31.251,0.0,0.0,2.0,ablitas,Navarra
Abrera,12620.0,6373.0,6247.0,630.9373865978188,20.00198477387808,4757.0,10498.0,1836.0,34.28,5.538295231428571,3.76573961,1.0,abrera,Barcelona
Abrucena,1208.0,639.0,569.0,14.436421004209068,83.67724934371176,331.0,833.0,317.0,18.012,0.0,0.0,1.0,abrucena,Almería
Abusejo,166.0,87.0,79.0,7.1851969503913695,23.103054953971466,32.0,106.0,87.0,21.727,0.0,0.0,1.0,abusejo,Salamanca
Acebedo,185.0,106.0,79.0,3.686844207326469,50.17841535923037,36.0,128.0,74.0,24.098,0.0,0.0,2.0,acebedo,León
Acebo,560.0,271.0,289.0,9.821543391352348,57.017515240330525,134.0,385.0,195.0,19.587,0.0,0.0,1.0,acebo,Cáceres
Acedera,820.0,419.0,401.0,9.960315400004015,82.32671025655165,257.0,577.0,221.0,19.529,0.0,0.0,1.0,acedera,Badajoz
Acehúche,813.0,413.0,400.0,8.92790070049729,91.06284078122816,286.0,610.0,191.0,21.851,0.0,0.0,1.0,acehuche,Cáceres
Aceituna,587.0,299.0,288.0,14.647537005025075,40.07499689528827,189.0,436.0,171.0,16.419,0.0,0.0,1.0,aceituna,Cáceres
