municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,longitud_bancos,latitud_bancos,avg_income,population_density,avg_rent_price,normalized_bank_count,perc_over_65,perc_under_35,economic_score,social_score,total_score_alpha_0,total_score_alpha_25,total_score_alpha_50,total_score_alpha_75,total_score_alpha_100,PC1_economic,PC2_social
A Baña,3389.0,1597.0,1792.0,34.55052733604496,98.08822791727448,760.0,2180.0,1325.0,23.194,0.0,0.0,0.0,0.0,0.0,23.194,34.55052733604496,2.637703983157895,0.0,0.39097078784302153,0.2242549424609029,1.2104243409605575,0.08767713153163068,0.08767713153163068,0.36836393388886235,0.6490507362460941,0.9297375386033259,1.2104243409605575,0.0007223640965663196,-0.42787069971982417
A Bola,1075.0,508.0,567.0,30.7990266898203,34.903700393730595,208.0,663.0,536.0,19.074,0.0,0.0,1.0,-7.9120198,42.1564424,19.074,30.7990266898203,2.637703983157895,0.0125,0.4986046511627907,0.19348837209302325,0.903996337173994,0.09526827474310437,0.09526827474310437,0.29745029035082676,0.4996323059585492,0.7018143215662715,0.903996337173994,0.04881050798691641,-0.7626759912638543
A Cañiza,5115.0,2512.0,2603.0,48.69775115325253,105.0356511105209,1441.0,3612.0,1561.0,20.975,0.742729832,0.710382514,1.0,-8.276041,42.2127485,20.975,48.69775115325253,0.726556173,0.0125,0.30518084066471163,0.2817204301075269,4.686684666892585,0.08490098172148121,0.08490098172148121,1.2353469030142572,2.385792824307033,3.5362387455998094,4.686684666892585,-0.016429077295038202,-0.5850245704668099
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,37.0,-8.145621,42.93471958918919,26.737,21.52306152337824,2.637703983157895,0.4625,0.32367149758454106,0.23832528180354268,0.5580325061173523,0.041462266719565606,0.041462266719565606,0.1706048265690123,0.299747386418459,0.42888994626790566,0.5580325061173523,0.23009278019123755,-0.620532080190845
A Coruña,245468.0,113806.0,131662.0,6364.888022278336,38.56595734925966,74464.0,185187.0,59663.0,33.057,6.341972839193549,0.2457914104838709,2.0,-8.51054015,43.192682700000006,33.057,6364.888022278336,3.2938821248387096,0.025,0.24305815829354538,0.30335522349145305,28.958389285363634,0.07188963788229545,0.07188963788229545,7.29351454975263,14.515139461622965,21.736764373493298,28.958389285363634,-0.21657803181382845,4.994495151536901
A Estrada,20261.0,9736.0,10525.0,72.17121514546173,280.7351928211791,6024.0,14932.0,5729.0,23.865,1.186745952105263,0.1540588210526315,40.0,-7.897881334999999,42.816472235,23.865,72.17121514546173,0.6704023865789472,0.5,0.28275998223187404,0.2973199743349292,4.982703261824216,0.04203509533006291,0.04203509533006291,1.2772021369536013,2.51236917857714,3.747536220200678,4.982703261824216,0.24069212672423207,-0.7057635897136786
A Fonsagrada,3328.0,1751.0,1577.0,7.590808397144948,438.42497740447857,671.0,2143.0,1446.0,19.939,0.9785345733333334,0.7555106566666666,1.0,-7.0676605,43.1248311,19.939,7.590808397144948,0.867022615,0.0125,0.4344951923076923,0.20162259615384615,0.7183026058793993,0.08650899808082355,0.08650899808082355,0.24445740003046748,0.40240580198011144,0.5603542039297553,0.7183026058793993,0.02368284098911539,-0.6934433798816562
A Guarda,9991.0,4896.0,5095.0,477.9872766412933,20.90223001374526,3223.0,7805.0,2208.0,24.585,3.16657707375,0.0,1.0,-8.8742166,41.9012451,24.585,477.9872766412933,1.583288536875,0.0125,0.22099889900910819,0.32259033129816833,13.858454193224418,0.07040095669728018,0.07040095669728018,3.5174142658290646,6.964427574960849,10.411440884092633,13.858454193224418,-0.05480288988549058,-0.08254212554933033
A Gudiña,1232.0,625.0,607.0,7.193416628233302,171.26771097402408,301.0,862.0,446.0,20.73,0.0,3.14926661,1.0,-7.1403516,42.0605483,20.73,7.193416628233302,1.574633305,0.0125,0.362012987012987,0.24431818181818182,0.39624873658426735,0.08734077534681228,0.08734077534681228,0.16456776565617603,0.24179475596553981,0.3190217462749036,0.39624873658426735,0.0018877190307073223,-0.6506513053367101
A Illa de Arousa,4951.0,2435.0,2516.0,843.3938879825445,5.8703294754045805,1676.0,3943.0,1015.0,18.933,5.06873648,0.0,0.0,0.0,0.0,18.933,843.3938879825445,2.53436824,0.0,0.20500908907291457,0.3385174712179358,10.832901144476546,0.06939915840965559,0.06939915840965559,2.7602746549263784,5.451150151443101,8.142025647959823,10.832901144476546,-0.06789202480851779,-0.356110022622592
A Lama,2410.0,1195.0,1215.0,21.563309712790616,111.7639189947947,570.0,1570.0,860.0,19.648,0.0,0.0,61.0,-7.733063849180327,42.68471823278689,19.648,21.563309712790616,2.637703983157895,0.7625,0.35684647302904565,0.23651452282157676,0.19543772745509394,0.02004485115614401,0.02004485115614401,0.06389307023088149,0.10774128930561898,0.15158950838035645,0.19543772745509394,0.4126942991158414,-1.4175216022994852
A Laracha,11521.0,5669.0,5852.0,91.44153580180844,125.99307195551444,3255.0,8357.0,2945.0,25.63,1.5737127027272726,0.4649021818181818,1.0,-8.5816182,43.2484663,25.63,91.44153580180844,1.0193074422727273,0.0125,0.25562017186008157,0.28252755837166915,7.123893541409632,0.07131699623834811,0.07131699623834811,1.834461132531169,3.59760526882399,5.3607494051168105,7.123893541409632,-0.04140138436197724,-0.1739807338296849
A Merca,1939.0,968.0,971.0,38.02828716578168,50.98836010012925,354.0,1123.0,788.0,21.877,0.0,1.44230769,1.0,-7.9049545,42.222633,21.877,38.02828716578168,0.721153845,0.0125,0.406395048994327,0.18256833419288293,4.033840260524656,0.07326743128014021,0.07326743128014021,1.0634106385912692,2.053553845902398,3.043697053213527,4.033840260524656,0.007597020730451109,-0.5462531439291705
A Mezquita,1006.0,528.0,478.0,9.647647137151983,104.2741287796492,234.0,620.0,419.0,19.833,0.0,0.0,1.0,-7.0451474,42.0114543,19.833,9.647647137151983,2.637703983157895,0.0125,0.4165009940357853,0.23260437375745527,0.30456960909755576,0.09566895347596331,0.09566895347596331,0.14789411738136143,0.20011928128675954,0.25234444519215765,0.30456960909755576,0.02241755861211124,-0.7172213364135154
A Pastoriza,2918.0,1474.0,1444.0,16.675260945076666,174.9897653542587,748.0,1993.0,1063.0,21.966,0.0,0.0,0.0,0.0,0.0,21.966,16.675260945076666,2.637703983157895,0.0,0.36429061000685403,0.2563399588759424,0.5691945829528682,0.09338223998804894,0.09338223998804894,0.21233532572925373,0.33128841147045857,0.45024149721166334,0.5691945829528682,-0.0032845609737332995,-0.5305755437713326
A Peroxa,1826.0,906.0,920.0,33.49310226972829,54.51868821510672,346.0,1096.0,775.0,20.565,0.0,0.0,12.0,-8.225431491666667,42.70659789166667,20.565,33.49310226972829,2.637703983157895,0.15,0.4244249726177437,0.18948521358159912,1.2039932339926678,0.06835891809796188,0.06835891809796188,0.35226749707163835,0.6361760760453148,0.9200846550189914,1.2039932339926678,0.09291885700541691,-0.7748467939032768
A Pobra de Trives,2015.0,1000.0,1015.0,23.93237176523878,84.1955832779909,482.0,1359.0,759.0,23.508,1.31313667,0.0,1.0,-7.2547833,42.3405898,23.508,23.93237176523878,0.656568335,0.0125,0.3766749379652605,0.2392059553349876,3.173439171533798,0.08897660228189325,0.08897660228189325,0.8600922445948694,1.6312078869078457,2.402323529220822,3.173439171533798,0.004815329082170576,-0.4313050294917237
A Pobra do Brollón,1615.0,794.0,821.0,9.138827850374428,176.7185055284559,266.0,871.0,814.0,21.871,0.0,0.0,1.0,-7.3921684,42.5564957,21.871,9.138827850374428,2.637703983157895,0.0125,0.5040247678018576,0.16470588235294117,0.3184164006090606,0.0819781460571845,0.0819781460571845,0.14108770969515352,0.20019727333312257,0.2593068369710916,0.3184164006090606,0.04462338156470903,-0.5618279899330153
A Pobra do Caramiñal,9291.0,4543.0,4748.0,287.01050660088896,32.37163722692521,2894.0,7218.0,2172.0,25.581,2.4021207185714286,0.5,1.0,-8.9402045,42.6046249,25.581,287.01050660088896,1.4510603592857143,0.0125,0.2337746206005812,0.31148423205252396,11.736180459421428,0.07190689431900292,0.07190689431900292,2.9879752855946093,5.904043676870216,8.820112068145821,11.736180459421428,-0.04833510390537159,-0.10279630325126012
A Pontenova,2207.0,1058.0,1149.0,16.246235762527967,135.84685291164232,496.0,1459.0,824.0,23.019,1.12092598,0.0,11.0,-8.301850345454547,43.021062163636365,23.019,16.246235762527967,0.56046299,0.1375,0.3733574988672406,0.2247394653375623,2.8733807962219453,0.07237079203235412,0.07237079203235412,0.7726232930797519,1.4728757941271498,2.1731282951745476,2.8733807962219453,0.07034949922705218,-0.5868196561485439
A Rúa,4245.0,2109.0,2136.0,118.21328033920476,35.9096709592972,1166.0,3042.0,1317.0,26.702,1.7448162320000002,0.0,44.0,-8.025853072727273,43.08004948181818,26.702,118.21328033920476,0.8724081160000001,0.55,0.3102473498233215,0.2746760895170789,5.797667854003807,0.038347887974628216,0.038347887974628216,1.478177879481923,2.9180078709892174,4.357837862496512,5.797667854003807,0.2768089985045607,-0.6379061499063119
Abadín,2297.0,1144.0,1153.0,11.745771388858964,195.55974009325075,462.0,1389.0,1039.0,18.664,0.0,0.0,2.0,-7.59050455,43.30941155,18.664,11.745771388858964,2.637703983157895,0.025,0.4523291249455812,0.20113191118850673,0.3521832110950496,0.08870337585186636,0.08870337585186636,0.15457333466266215,0.22044329347345798,0.28631325228425375,0.3521832110950496,0.038625463002092894,-0.8050213218187727
Abanilla,6116.0,3099.0,3017.0,25.95725119164008,235.6181690752274,1979.0,4499.0,1564.0,22.315,0.52868077,0.3823238616666666,1.0,-1.0392384,38.2058263,22.315,25.95725119164008,0.45550231583333334,0.0125,0.25572269457161545,0.3235775016350556,4.388046014903489,0.08171178423810689,0.08171178423810689,1.1582953419044524,2.234878899570798,3.311462457237144,4.388046014903489,-0.029686602968410147,-0.48917122723473616
Abarán,13066.0,6531.0,6535.0,113.58034174100013,115.03751265157048,5041.0,10785.0,2245.0,21.57,1.74554629,0.5151806,1.0,-1.3971219,38.2058512,21.57,113.58034174100013,1.130363445,0.0125,0.17181999081585794,0.3858105005357416,6.496671997957209,0.06546133220047877,0.06546133220047877,1.6732639986396614,3.281066665078844,4.888869331518027,6.496671997957209,-0.05565590620346423,-0.45303759679452826
Abegondo,5494.0,2701.0,2793.0,65.48556953419923,83.8963460053716,1418.0,3819.0,1635.0,27.317,0.0,1.916178535,1.0,-8.2887175,43.2273169,27.317,65.48556953419923,0.9580892675,0.0125,0.29759737895886423,0.25809974517655626,6.190129744470507,0.07584968507856273,0.07584968507856273,1.6044196999265488,3.132989714774535,4.661559729622521,6.190129744470507,-0.027715893562771172,-0.1049664623006196
Abenójar,1339.0,691.0,648.0,3.162260031032358,423.4313392510189,421.0,984.0,411.0,19.356,0.0,0.0,1.0,-4.3557024,38.8794942,19.356,3.162260031032358,2.637703983157895,0.0125,0.30694548170276326,0.3144137415982076,0.0984680090105155,0.0953015289017196,0.0953015289017196,0.09609314892891857,0.09688476895611756,0.09767638898331653,0.0984680090105155,-0.007260824437831602,-0.7534638448290907
Abla,1258.0,646.0,612.0,27.80451342802707,45.24445296467337,378.0,891.0,344.0,18.721,0.0,0.0,1.0,-2.7792318,37.1416926,18.721,27.80451342802707,2.637703983157895,0.0125,0.27344992050874406,0.3004769475357711,0.804788709021349,0.08113832995063708,0.08113832995063708,0.26205092471831504,0.44296351948599305,0.6238761142536711,0.804788709021349,-0.02335361975253996,-0.7899915052933971
Abrera,12620.0,6373.0,6247.0,630.9373865978188,20.00198477387808,4757.0,10498.0,1836.0,34.28,5.538295231428571,3.76573961,1.0,1.9024126,41.5204464,34.28,630.9373865978188,4.6520174207142855,0.0125,0.14548335974643423,0.37694136291600633,12.256945146028658,0.054153212205615316,0.054153212205615316,3.104851195661376,6.155549179117137,9.206247162572897,12.256945146028658,-0.0849877679072988,0.7256851309412019
Abrucena,1208.0,639.0,569.0,14.436421004209068,83.67724934371176,331.0,833.0,317.0,18.012,0.0,0.0,1.0,-2.797482,37.1332098,18.012,14.436421004209068,2.637703983157895,0.0125,0.26241721854304634,0.2740066225165563,0.4107038939345325,0.07100525504637953,0.07100525504637953,0.15592991476841778,0.240854574490456,0.3257792342124943,0.4107038939345325,-0.031789958242083145,-0.8493766752651866
Aceuchal,5467.0,2725.0,2742.0,86.6703058819413,63.07812052084968,2174.0,4431.0,1030.0,19.702,0.0,0.0,1.0,-6.486997,38.6479821,19.702,86.6703058819413,2.637703983157895,0.0125,0.18840314614962503,0.3976586793488202,2.4154637333948314,0.07398364445448487,0.07398364445448487,0.6593536666895715,1.2447236889246582,1.8300937111597446,2.4154637333948314,-0.04343643751011636,-0.6591924743125985
Adamuz,4141.0,2122.0,2019.0,12.362027143641054,334.9774233532648,1524.0,3314.0,871.0,16.924,0.0,0.0,1.0,-4.5245275,38.0269999,16.924,12.362027143641054,2.637703983157895,0.0125,0.21033566771311277,0.36802704660709973,0.3315556219721706,0.07644159940228185,0.07644159940228185,0.14022010504475402,0.20399861068722622,0.2677771163296984,0.3315556219721706,-0.03641471566775911,-0.9092583719299032
Ademuz,1027.0,556.0,471.0,10.237862671576222,100.31390661756971,346.0,785.0,261.0,19.863,1.98019802,0.0,1.0,-1.2856816,40.0631649,19.863,10.237862671576222,0.99009901,0.0125,0.25413826679649465,0.33690360272638753,0.8396531436328294,0.08454984645344919,0.08454984645344919,0.2733256707482942,0.4621014950431393,0.6508773193379843,0.8396531436328294,-0.025046096518570933,-0.715177576900292
Ador,1772.0,931.0,841.0,128.1239775409735,13.830354270989767,415.0,1076.0,317.0,25.172,0.0,3.18610022,1.0,-0.2242702,38.9195136,25.172,128.1239775409735,1.59305011,0.0125,0.1788939051918736,0.23419864559819414,6.433566744020905,0.04137300142293719,0.04137300142293719,1.6394214370724292,3.2374698727219213,4.835518308371413,6.433566744020905,-0.0790325534283488,-0.2630130139715505
